Year, Baseline: Based on- IEA ETP 2016 6DS, Baseline: Based on- AMPERE MESSAGE-MACRO Reference, Baseline: Based on- AMPERE GEM E3 Reference, Baseline: Based on- AMPERE IMAGE/TIMER Reference, Conservative: Based on- IEA ETP 2016 4DS, Conservative: Based on- AMPERE MESSAGE-MACRO 550, Conservative: Based on- AMPERE GEM E3 550, Conservative: Based on- AMPERE IMAGE/TIMER 550, Conservative: Based on- Greenpeace 2015 Reference, Ambitious: Based on- IEA ETP 2016 2DS, Ambitious: Based on- AMPERE MESSAGE-MACRO 450, Ambitious: Based on- AMPERE GEM E3 450, Ambitious: Based on- AMPERE IMAGE/TIMER 450, Ambitious: Based on- Greenpeace Energy [R]evolution, 100% REN: Based on- Greenpeace Advanced [R]evolution
2048, 4330.36912699620, 8359.50426198446, 6705.68455705440, 7268.45855281276, 4015.05543739191, 8609.12909760433, 6425.94953836489, 6346.61060570913, 5189.48241494410, 3633.88638366685, 9230.89283749283, 6291.67350978540, 5694.23171671831, 7405.24458031831, 10314.45468259620
2049, 4433.79046272115, 8633.51615180625, 6970.59434814063, 7585.05526338071, 4102.50406054949, 8920.75672593888, 6640.66264590919, 6608.70893686743, 5294.80316420125, 3713.78806932428, 9606.06599491250, 6552.59543075140, 5929.60446119581, 7713.62356153457, 10799.60241753640
2050, 4537.26587151397, 8918.97398975252, 7256.53912645658, 7893.57380873795, 4189.99662200721, 9225.28887902669, 6864.68719991372, 6899.88130762378, 5396.72203553704, 3793.73007624984, 10033.09767286460, 6816.63912063936, 6149.90348029142, 8022.62993813725, 11273.70472018980
2051, 4640.79900437129, 9197.04178524158, 7535.74427598427, 8253.48113073838, 4277.53659984699, 9569.12890681248, 7088.71812483102, 7159.15995003710, 5501.91195771486, 3873.71554402311, 10392.98236479230, 7112.44528011629, 6428.41932346470, 8356.48067655782, 11806.00455539140
2052, 4744.38934754486, 9486.58683659105, 7836.78727437138, 8605.85298683960, 4365.12360633493, 9906.15837904265, 7322.33252159846, 7447.82792162097, 5603.46382418467, 3953.74411379540, 10805.22431953540, 7412.25686623991, 6692.35497779819, 8691.06661075285, 12327.07370274070
2053, 4848.03473788257, 9781.34347949253, 8150.68329618511, 8970.69688125941, 4452.75573494525, 10251.94379619170, 7562.52255048515, 7745.67070182728, 5703.51769593536, 4033.81405117266, 11230.32598212980, 7725.92129138637, 6966.30890972556, 9034.48809181040, 12859.91994720100
2054, 4951.73106361870, 10081.33029919020, 8477.84166675452, 9348.28984396954, 4540.42929900664, 10606.63230323190, 7809.42827468929, 8052.84973260392, 5801.94841930154, 4113.92200823618, 11668.54280113110, 8053.88862831812, 7250.53293614118, 9386.78835700136, 13404.43500394550
2055, 5055.47628123273, 10386.56447965670, 8818.67269798111, 9738.90884019399, 4628.14252264322, 10970.37022507930, 8063.18937157540, 8369.52595947104, 5898.63318150841, 4194.06636707407, 12120.12972340370, 8396.61018969191, 7545.27906336019, 9748.01411179127, 13960.51524790200
2056, 5159.27305469373, 10697.06462449590, 9173.59002303282, 10142.83336235580, 4715.89793692277, 11343.30602244140, 8323.94730613630, 8695.86207203136, 5993.45453360560, 4274.24941300540, 12585.34443749240, 8754.54074045887, 7850.80149399070, 10118.22103288990, 14528.06971253710
2057, 5263.12655529825, 11012.84456126590, 9543.00526217817, 10560.33955428600, 4803.70033949259, 11725.58371868840, 8591.84050114284, 9032.01747003284, 6086.29772836982, 4354.47548795412, 13064.44008344020, 9128.13340577213, 8167.35207332462, 10497.47016044300, 15107.01506064420
2058, 5367.04061060123, 11333.91022196520, 9927.32504551046, 10991.69691814270, 4891.55327044524, 12117.33945433780, 8867.00183719576, 9378.14550552948, 6177.04621662190, 4434.74779671775, 13557.66127756720, 9517.83676833202, 8495.17775273026, 10885.82052348730, 15697.26500638510
2059, 5471.01983511723, 11660.26316203780, 10326.95370546090, 11437.17131443720, 4979.46096307316, 12518.70507812550, 9149.56130729270, 9734.39612269095, 6265.58411681033, 4515.07017474535, 14065.24794734230, 9924.09737398767, 8834.52291644623, 11283.33332672220, 16298.73629843550
2060, 5575.06976731228, 11988.91674953140, 10742.29965965900, 11899.95967208230, 5067.42846574717, 12934.48052829100, 9439.65179935180, 10090.31027620970, 6351.79634074109, 4595.44719890493, 14575.82610505150, 10347.36582839090, 9190.07724426502, 11690.07238864580, 16911.34934871240
