"Country","FAO commodity","2/3_vegan","lacto_ovo_vegetarian","low_red_meat","meatless_day","no_dairy","no_red_meat","pescetarian","vegan","GrandTotal"
"Algeria","Cephalopods","0","0","0","0","0","0","0","0","0"
"Algeria","Cereals, Other","0","0","0","0","0","0","0","0","0"
"Algeria","Citrus, Other","0","0","0","0","0","0","0","0","0"
"Algeria","Coconut Oil","0.810648356","0.810648356","0.810648356","0.810648356","0.810648356","0.810648356","0.810648356","0.810648356","0.810648356"
"Algeria","Coconuts - Incl Copra","0.238754316","0.238754316","0.238754316","0.238754316","0.238754316","0.238754316","0.238754316","0.238754316","0.238754316"
"Algeria","Cottonseed Oil","0","0","0","0","0","0","0","0","0"
"Algeria","Crustaceans","0","0","0","0","0","0","0","0","0"
"Algeria","Dates","67.25556495","62.6078955","55.68160535","56.67107537","55.68160535","55.68160535","62.6078955","73.04254475","60.97000854"
"Algeria","Demersal Fish","0","0","0","0","0","0","0","0","0"
"Algeria","Eggs","9.231600304","38.77603665","27.69480091","29.27783459","58.05173932","31.52232796","15.50623203","0","27.72487829"
"Algeria","Forage fish","0","0","0","0","0","0","0","0","0"
"Algeria","Freshwater Fish","0.272871651","0","0.818614952","0.701669959","1.715918519","0.931750658","2.444454747","0","0.80798032"
"Algeria","Fruits, Other","25.93899538","24.14649127","21.47517317","21.85679004","21.47517317","21.47517317","24.14649127","28.17090649","23.51479422"
"Algeria","Grapefruit and products","0","0","0","0","0","0","0","0","0"
"Algeria","Grapes and products (excl wine)","13.12124547","12.21450694","10.8632202","11.05626117","10.8632202","10.8632202","12.21450694","14.2502581","11.89496288"
"Algeria","Groundnut Oil","9.457564153","9.457564153","9.457564153","9.457564153","9.457564153","9.457564153","9.457564153","9.457564153","9.457564153"
"Algeria","Groundnuts (Shelled Eq)","2.858175662","2.858175662","2.858175662","2.858175662","2.858175662","2.858175662","2.858175662","2.858175662","2.858175662"
"Algeria","Honey","0.270216119","0.810648356","0.810648356","0.810648356","0.810648356","0.810648356","0.810648356","0","0.664237862"
"Algeria","Insects","0","0","0","0","0","0","0","0","0"
"Algeria","Lemons, Limes and products","0.742910976","0.691572404","0.615063985","0.625993759","0.615063985","0.615063985","0.691572404","0.806834471","0.673480158"
"Algeria","Maize Germ Oil","0.540432237","0.540432237","0.540432237","0.540432237","0.540432237","0.540432237","0.540432237","0.540432237","0.540432237"
"Algeria","Maize and products","85.49616765","81.25824793","89.94798038","88.70659003","100.9665956","88.55859682","89.64544877","83.27026128","88.1326458"
"Algeria","Marine Fish, Other","0.393053388","0","1.179160165","1.010708713","2.471666026","1.342124594","3.521073805","0","1.163841688"
"Algeria","Milk - Excluding Butter","99.68777407","418.7244523","299.0633222","316.1577694","0","340.3950133","167.4446146","0","223.3091472"
"Algeria","Millet and products","0","0","0","0","0","0","0","0","0"
"Algeria","Molluscs, Other","0","0","0","0","0","0","0","0","0"
"Algeria","Mutton & Goat Meat","9.255148321","0","27.76544496","23.79895282","27.76544496","0","0","0","10.7508947"
"Algeria","Nuts and products","8.58674329","8.58674329","8.58674329","8.58674329","8.58674329","8.58674329","8.58674329","8.58674329","8.58674329"
"Algeria","Oats","0","0","0","0","0","0","0","0","0"
"Algeria","Offals, Edible","0.895669049","0","2.687007146","2.303148983","2.687007146","0","0","0","1.04042024"
"Algeria","Oilcrops Oil, Other","37.28982437","37.28982437","37.28982437","37.28982437","37.28982437","37.28982437","37.28982437","37.28982437","37.28982437"
"Algeria","Oilcrops, Other","0","0","0","0","0","0","0","0","0"
"Algeria","Olive Oil","30.53442141","30.53442141","30.53442141","30.53442141","30.53442141","30.53442141","30.53442141","30.53442141","30.53442141"
"Algeria","Olives (including preserved)","6.291908394","6.291908394","6.291908394","6.291908394","6.291908394","6.291908394","6.291908394","6.291908394","6.291908394"
"Algeria","Onions","22.73555671","21.16442498","18.82301185","19.15749944","18.82301185","18.82301185","21.16442498","24.69182914","20.61074185"
"Algeria","Oranges, Mandarines","16.22915277","15.10764353","13.43629007","13.67505485","13.43629007","13.43629007","15.10764353","17.62558412","14.71241203"
"Algeria","Palm Oil","12.70015758","12.70015758","12.70015758","12.70015758","12.70015758","12.70015758","12.70015758","12.70015758","12.70015758"
"Algeria","Palmkernel Oil","0","0","0","0","0","0","0","0","0"
"Algeria","Peas","19.10795324","6.355333469","4.539135775","4.798592588","9.514591839","5.16646164","13.55425035","26.39236197","10.52280885"
"Algeria","Pelagic Fish","2.528811436","0","7.586434309","6.502657979","15.9021077","8.634908447","22.65374621","0","7.487878893"
"Algeria","Pigmeat","0","0","0","0","0","0","0","0","0"
"Algeria","Pineapples and products","0.247437593","0.230338515","0.204856244","0.208496568","0.204856244","0.204856244","0.230338515","0.268728268","0.224312623"
"Algeria","Plantains","0.247437593","0.230338515","0.204856244","0.208496568","0.204856244","0.204856244","0.230338515","0.268728268","0.224312623"
"Algeria","Potatoes and products","99.40229105","94.47506518","104.5782001","103.1348951","117.3890151","102.9628305","104.2264611","96.81433654","102.4675977"
"Algeria","Poultry Meat","10.39803404","0","31.19410213","26.73780182","65.38670889","35.50524594","0","0","20.53718953"
"Algeria","Pulses, Other and products","282.3588986","93.91298673","67.07496937","70.90897185","140.597459","76.3449858","200.2916352","390.0008633","155.4959173"
"Algeria","Rape and Mustard Oil","8.376699678","8.376699678","8.376699678","8.376699678","8.376699678","8.376699678","8.376699678","8.376699678","8.376699678"
"Algeria","Rice (Milled Equivalent)","14.22653628","13.52134773","14.96731656","14.76074959","16.80081077","14.73612356","14.91697539","13.85614614","14.66524544"
"Algeria","Roots, Other","0","0","0","0","0","0","0","0","0"
"Algeria","Rye and products","0","0","0","0","0","0","0","0","0"
"Algeria","Sesame seed","1.193771578","1.193771578","1.193771578","1.193771578","1.193771578","1.193771578","1.193771578","1.193771578","1.193771578"
"Algeria","Sesameseed Oil","0","0","0","0","0","0","0","0","0"
"Algeria","Sorghum and products","0.156772854","0.149001853","0.164936067","0.16265975","0.185140712","0.162388378","0.16438132","0.152691248","0.161607319"
"Algeria","Soyabean Oil","152.1316748","152.1316748","152.1316748","152.1316748","152.1316748","152.1316748","152.1316748","152.1316748","152.1316748"
"Algeria","Soyabeans","0","0","0","0","0","0","0","0","0"
