"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World, Asia ,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for the region,
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World,Central America and the Caribbean,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for the region,
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World,Central America and the Caribbean,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for the region,
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World,Eurasia,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for the region,
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World,Eurasia,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for the region,
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World,Europe,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for the region,
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World,Europe,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for the region,
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World, Middle East ,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for the region,
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World, Middle East ,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Maximum for the region,
"REN21.(2018). Min/Max Regional Capacity Factor. REN21. (2018). Renewables 2018 : Global Status Report. Paris, p-121. ",http://www.ren21.net/wp-content/uploads/2018/06/17-8652_GSR2018_FullReport_web_final_.pdf,World, North America ,,2 - Public Sector/ Multilateral Agency,2017,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum for the region,
